Country,Proposed_VitD,CRC0to14,CRC15to29,CRC30to44,CRC45to59,CRC60to74,CRC_over75,COUNTRY_CODE,ADJ_UVB,UVB_unitless_Aura,UVB_unitless_Aura2,URBAN_PERCENT,PIGMENTATION,GDP,LIFE_EXPECTANCY,SMOKING_PREV,ANIMAL_CONSUMPTION,OZONE
Philippines, ,0,0.8,5.1,30.7,98.9,171.3,PHL,9.4199,86.6597938,243.65,48.8,2,5468.31,68.32,22.5,34.47,270
Poland,30.6,0,0.8,3.9,52.8,185.1,273.5,POL,3.5574,34.994152,147.04,60.9,0,21048.33,76.25,27.9,74.72,200
Portugal,43.03,0.1,0.8,10,77.5,227.1,349.2,PRT,7.11018,31.1,192.2307692,61.1,1,27308.19,79.03,21.8,93.34,325
Puerto Rico, ,0,1,9,53.4,148.2,227.5,PRI,10.99056,21.3333333,161.3333333,98.9,2,33229.92,78.41,,,315
Qatar,36,0,0.2,2,13.3,63.6,157.8,QAT,13.09245,35.3333333,243.2,98.8,2,117518.7,77.3,18.1,,225
Romania,46.5,0,0.8,5.4,45.1,164.2,217.8,ROU,4.68293,31.1160714,156.7272727,52.8,1,16966.47,73.46,26.6,57.76,250
Russian Federation, ,0,0.9,4.9,50,160.3,218.8,RUS,3.37071,27.8638701,119.8837321,73.8,0,20490.13,68.84,31.5,65.37,300
Rwanda, ,0,0.2,3.2,17.1,65.4,159.8,RWA,15.16368,120.5,247.7142857,19.1,3,1367.83,63.14,8,7.77,310
Samoa, ,0,0,3.3,54,125.5,150.5,WSM,11.0418,139,209,19.9,2.5,5296.68,7312,22.4,89.72,265
Saudi Arabia,49.9,0,0.8,6.9,27.1,61.4,81.6,SAU,12.21962,179.5112045,246.3452055,82.3,2,44498.68,73.57,14.6,59.13,275
Senegal, ,0,0.5,2.5,10,33.2,56.4,SEN,9.81152,206.9705882,250.1449275,42.5,3,2718.91,64.18,7.1,13.53,260
Serbia, ,0.1,1.3,10.1,82.5,214.3,218.6,SRB,4.84953,31.3541667, ,56.4,1,12797.32,74.34,27,47.62,250
Sierra Leone, ,0,0.6,3.2,10.2,25.3,36.4,SLE,12.39784,192,244.2,39.2,3,1183.33,48.22,17.6,14.31,300
Singapore, ,0,0.9,5,53.3,169.7,497.5,SGP,2.88876, , ,100,2,71565.99,81.54,13.2,,240
Slovakia,81.5,0.1,1.2,7.3,78,264.3,380.6,SVK,3.79092,30.4583333,154.8214286,54.7,1,24962.28,75.11,22.1,58.32,260
Slovenia, ,0,0,7.6,74,252.2,353.9,SVN,5.35192,27,157,49.9,1,27739.35,79.42,22,85.93,315
Solomon Islands, ,0,0,0.9,17,36.9,44.9,SLB,11.2686,78.5,226.1111111,20.5,3,1832.83,68.57,26.8,11.47,300
Somalia, ,0,0.7,5,19,36,37.5,SOM,12.32959,192.0660377,251.2522523,37.7,3,,53.99,9.7,,265
South Africa, ,0,0.5,4.6,24,72.6,134.6,ZAF,12.3186,19.4097665,193.5486542,62,2,11728.16,55.89,14.6,58.23,240
Spain,75.4,0,0.6,6.5,60.2,197.3,312.1,ESP,7.00844,31.7312775,179.0350877,77.4,1,31923.12,81.63,25,96.64,290
Sri Lanka, ,0.1,0.5,3,11.7,22.9,32.2,LKA,4.77925,84.75,246.826087,15.1,2,8328.91,74.35,11.8,6.59,315
Sudan, ,0.1,0.8,3.9,12.4,20.3,30.6,SDN,15.81391,238.428238,254.2651429,33.2,3,3327.14,62.62,5.6,23.86,200
Suriname, ,0,0,1.7,24.9,90.2,177.9,SUR,5.76408,186.8867925,252.2291667,69.7,2.5,13841.41,70.34,6.2,58.69,240
Swaziland, ,0,0.5,3.8,7.2,14.8,18.9,SWZ,12.7848,23.2,196.5,21.2,3,,,7,24.44,235
Sweden,68.7,0,0.7,5.9,41.3,166.8,277.3,SWE,3.16491,29.5987842,113.5136778,85.2,0,41632.69,81.45,13,80.51,300
Switzerland,46,0.4,0.9,6.6,40.2,137,233.3,CHE,5.35192,30.5714286,153.45,73.7,1,53067.69,82.25,19.6,75.03,355
Syrian Arab Republic, ,0,0.6,7,28.2,65,117.8,SYR,7.889,22.5,207.4,56.1,1.5,,72.11,17.2,,320
Tajikistan, ,0,0.6,5.1,6.1,14.7,24.2,TJK,8.34757,122.5396825,240.4126984,26.5,1.5,2094.54,69.64,15.6,13.64,280
"Tanzania, United Republic of", ,0,0.6,2.4,11.8,49,94.1,TZA,12.26043,149.1446541,244.8338369,26.7,3,2182.37,60.89,9.5,9.07,315
Thailand,65,0,0.9,5.2,27.6,84.2,131.3,THA,13.02322,166.1468927,241.043956,34.1,2,13213.31,73.92,19.5,28.1,265
